uniq_id,retire_date,record,crit,bus_process,fcc_group_id,fcc_group,prot_type,db_bus_approver,db_tech_approver,app_platform,lto_one,lto_two,lto_three,lto_four,lto_five,model_asset,npi_type,data_cetner,recovery_group,shared_service,mant_all,mant_first,mant_fourth,mant_done,mant_none,mant_other,mant_secound,deplot_date,asset_id,asset_status,asset_type,bhs_classifcation,bhs_rationale,bhisomess_facing,confidental_info,cots_product,critcal_facing,crown_jewel,version,goverance_rating,desc,maint_desc,eu_path,expected_yr,expeced_qtr,exteranl_facing,hamp,info_class,is_platform,l1_grp,l1.5_grp,l2_grp,l3_grp,locatal_resiliance,location,mait_days,mait_frq,mait_time,confidental_npi,other_lang,passing_data,platform_type,primary_language,production_date,recover_cap,recover_rpo,recover_cap_rtc,recover_time_hours,retirement_start,retirement_target,shared_system,software_name,sox_relevane,tech_prot,maint_thrid,vender_name,bus_capability,aws_version,cloud_date,asset_rate,data_id,research_asset,vender_name_other,sox_date,business_id,retirement_start,business_justification,recovery_proprty,critiacal_cyber,cloud_only,prem_only,enterprise_bu,lowest_rpo,lowest_rto,data_approch,subrec
id000001,1/12/2022,,Medium,,443R8020D13668ZE,117I5685S33335HX,,884P8880N56991RC,664C9002P77428GM,Linux,4/14/2018,6/24/2023,4/20/2020,5/10/2021,7/28/2023,No,No,,Group 3,Critiical Shared Service,,,,5:00 PM,TRUE,FALSE,TRUE,2/10/2024,asset0001,Retired,Application,Sell,Set to be retired,No,No,Yes,Yes,No,5.38,Medium,OV17,UO94,\\path\assets\asset0001,,,Yes,No,Confidential-Internal-Distribition,False ,GW52,PL43,SS43,EH92,,,Sunday,Bi-monthly,9:00 PM,No,MS Excell,Yes,,SAS,12/9/2023,,24:00:00,,121,,,Fasle,823J2684G54369VG,Yes,Capital Markets,Fasle,,Technology Management,,,,,,,,,,,,,,,,,,,
id000002,10/26/2022,,High,,594Z1535L46981CA,315E8706R85962LJ,,832G5877I32191SC,494B6436Z15396WA,Unix/Solaris,6/13/2020,3/31/2020,5/24/2018,2/13/2021,9/29/2018,No,Yes,Urbana A,Group 1,,,,,5:00 PM,TRUE,TRUE,TRUE,4/13/2019,asset0002,Deployed,Exteranl Data,Hold to Kepp,Under Use,No,Yes,No,Yes,Yes,1.24,High,IU31,LY64,\\path\assets\asset0002,,,No,No,Confidential-Highly-Restricted,False ,UL43,DY92,AY66,BY94,Urbon A,,Saturday-Sunday,Weekly,12:00 AM,Yes,XML,No,,SAS,4/19/2023,,48,,96,,,True,834G9993U97886UJ,No,Capital Markets,Fasle,,Technology Management,,,,,,,,,,,,,,,,,,,
id000003,6/25/2020,,High,,916V6365H22332ZM,463E4383O68534AO,,272K6339E39633OO,322V1770U33215TP,IBM,9/3/2019,12/19/2022,5/31/2018,3/20/2019,4/13/2020,No,No,,Group 0,,,,,12:00 AM,TRUE,FALSE,FALSE,6/17/2020,asset0003,Retired,Utiltiy,Sell,Set to be retired,Yes,No,Yes,Yes,No,1.62,Medium,ME80,KE29,\\path\assets\asset0003,,,Yes,No,Confidential-Highly-Restricted,False ,LW95,EE18,PK37,PR51,RTP,Physically Hosted,,Bi-monthly,8:00 PM,No,,Yes,,MS Acess,2/5/2020,,50:00:00,,121,,,True,362E1616L52258KJ,No,End User Support,Fasle,,,Unknoen,,,,,,,,,,,,,,,,,,
id000004,4/9/2023,,Low,,400P1624R35267BJ,957H8456H83453NJ,,692L5179C21559BX,338X6711D28964QZ,Wintel Server,5/12/2018,1/28/2022,11/17/2021,11/27/2023,5/3/2019,No,Yes,Urbana A,,Critiical Shared Service,,,,,TRUE,FALSE,TRUE,1/22/2022,asset0004,Deployed,Exteranl Data,Sell,Set to be retired,No,No,No,Yes,No,7.00,Low,QN68,FV91,\\path\assets\asset0004,,,No,Yes,Confidential-Highly-Restricted,False ,RT31,YL21,CI50,KK93,RTP,Physically Hosted,Saturday-Sunday,Monthly,8:00 PM,Yes,MS Excell,Yes,,MS Acess,10/29/2020,,24,,250,,,Fasle,538Y4521S88412VD,No,End User Support,Fasle,,,,,,,,,,,,,,,,,,,,,
id000005,5/20/2022,,Medium,,815O2242X14593VF,218N6540R92384PZ,,956K3605P55147QZ,180J8145E47710ED,IBM,4/29/2022,8/13/2021,2/14/2019,2/13/2019,12/4/2021,No,No,Urbana A,Group 3,,,,,12:00 AM,TRUE,TRUE,FALSE,6/2/2018,asset0005,Deployed,Utiltiy,Sell,Set to be retired,Yes,Yes,No,No,Yes,8.00,High,JN47,YO87,\\path\assets\asset0005,,,Yes,Yes,Confidential-Internal-Distribition,False ,AR46,IT82,FI65,ZJ13,Urbon B,Physically Hosted,Saturday-Sunday,Bi-monthly,5:00 AM,Yes,MS Excell,No,,,3/1/2022,,24:00:00,,241,,,Fasle,645T9779U38885AT,Yes,Lender and Servicing Tech,Fasle,,Technology Management,,,,,,,,,,,,,,,,,,,
id000006,4/17/2021,,High,,934T8610H88998MU,999E9465D95587HF,,674T6212K66206WX,816W6458G51813NQ,Unix/Solaris,9/26/2022,9/6/2023,8/7/2019,12/16/2020,4/15/2021,Yes,Yes,Urbana A,Group 3,Shared Service Direct,,,,5:00 PM,TRUE,FALSE,FALSE,7/8/2021,asset0006,Deployed,Application,Sell,Set to be retired,No,No,Yes,Yes,No,8.00,Medium,TC26,OH57,\\path\assets\asset0006,,,Yes,No,Confidential-Restricted,False ,BW18,MH70,VF51,IF62,,Physically Hosted,Friday-Monday,Bi-monthly,9:00 PM,Yes,MS Excell,No,,,8/10/2021,,24:00:00,,96,,,Fasle,687H4865Y26560VS,No,Enterprise Data,Fasle,,Disclosure Management,,,,,,,,,,,,,,,,,,,
id000007,1/19/2018,,Low,,246K2429M66781XO,544X4637B97188TH,,864B4350I72949LE,280Y2207A12249XP,Linux,6/30/2024,2/15/2018,2/3/2020,8/5/2022,10/16/2022,No,Yes,,Group 1,,,,,12:00 AM,TRUE,TRUE,FALSE,3/2/2024,asset0007,Retired,EUC,Sell,Set to be retired,No,No,Yes,Yes,No,8.00,Medium,UW28,UC53,\\path\assets\asset0007,,,No,Yes,Confidential-Restricted,False ,TT75,DI18,LX20,HX48,Urbon A,Physically Hosted,Friday,Monthly,12:00 AM,No,Javascript,No,,VB,1/23/2019,,120:00:00,,250,,,True,406C1121V93833FS,Yes,Credit Loss Mgt,Fasle,,,,,,,,,,,,,,,,,,,,,
id000008,9/18/2023,,High,,573B6878E23481SX,540J1135B53753QG,,631W3230L27007KS,546O4273N94797DA,Wintel Server,11/9/2018,6/30/2022,1/12/2018,6/9/2018,8/20/2021,No,Yes,,Group 1,,,,,,FALSE,FALSE,FALSE,3/19/2021,asset0008,Retired,EUC,Sell,Set to be retired,Yes,No,Yes,No,Yes,8.00,Medium,QP90,FY90,\\path\assets\asset0008,,,Yes,Yes,Confidential-Internal-Distribition,False ,AE29,AJ32,PC37,MO70,Out of Region,,Friday,Weekly,8:00 PM,Yes,XML,Yes,,Java,12/31/2023,,48,,121,,,True,482Q9693O58035QV,Yes,Technology Services,Fasle,,,,,,,,,,,,,,,,,,,,,
id000009,9/3/2022,,High,,449G5010R59378QF,629Q3995G51854MI,,495J1377C86482IW,270C3765K47602QA,Linux,9/22/2019,7/25/2022,1/17/2018,2/6/2021,4/4/2022,No,No,,Group 3,Critiical Shared Service,,,,5:00 PM,FALSE,FALSE,TRUE,3/29/2020,asset0009,Deployed,Exteranl Data,Sell,Set to be retired,No,No,No,Yes,No,9.00,High,UQ34,BN51,\\path\assets\asset0009,,,Yes,No,Confidential-Highly-Restricted,False ,LR87,VG24,CN18,BQ84,Urbon B,Physically Hosted,Sunday,Bi-monthly,5:00 AM,No,XML,Yes,,MS Acess,5/3/2019,,50,,96,,,True,575E7225L12457DW,Yes,Infrastucture,Fasle,,,,,,,,,,,,,,,,,,,,,
id000010,5/2/2022,,High,,725G7361Z98563NV,788W7564W29187DP,,978L8090T60665ZH,803R1612S74438VQ,Unix/Solaris,9/30/2018,8/25/2018,4/4/2023,5/27/2018,5/5/2022,Yes,No,,Group 2,,,,,,FALSE,FALSE,FALSE,3/10/2022,asset0010,Deployed,Exteranl Data,Hold to Kepp,Under Use,No,No,No,Yes,No,7.00,High,TP98,SU47,\\path\assets\asset0010,,,Yes,No,Confidential-Internal-Distribition,False ,JN28,TX95,TT83,OI37,Urbon A,,,Weekly,12:00 AM,Yes,Javascript,No,,Net,12/18/2019,,24,,250,,,Fasle,619F1755E20943KG,No,Capital Markets,Fasle,,Technology Management,,,,,,,,,,,,,,,,,,,
id000011,9/11/2020,,High,,765V8852O10643RU,165X1809Y18695SA,,949F7922D45450DY,669R6775P79058JF,IBM,4/13/2018,1/10/2019,2/6/2022,9/6/2022,12/2/2018,No,No,Urbana A,Group 0,Critiical Shared Service,,,,,TRUE,TRUE,TRUE,12/13/2018,asset0011,Retired,Application,Hold to Kepp,Under Use,No,Yes,Yes,Yes,Yes,7.00,High,PP97,CO28,\\path\assets\asset0011,,,Yes,No,Confidential-Internal-Distribition,False ,BT54,SF53,HS35,PY92,Urbon B,Physically Hosted,Sunday,Weekly,9:00 PM,No,,Yes,,Net,9/9/2020,,50,,121,,,True,923E1784W78889TT,Yes,Technology Services,Fasle,,,,,,,,,,,,,,,,,,,,,
