accepted_date ,a_id,change_ticket,risk_level,deferred_count,acceptance_type,false_positive_state,existing_patch,owner_comments,rejection_evidence,remediation_comments,completion_date,remediation_plan,remediation_proof,approch_used,vulnerability_source,status_date,unique_id,total_nd_vis_count,total_vis_count,active_vis,active_ns_vis,task_state,task_desc,assignment_count,cve_code,asgm_group,task_id,last_update,task_creation_date,task_closed_date,asset_identifyer
12/11/2021,DE7B9426,3AA2CD,High,0,NH3oA6VbCjTNHJOdhG0kS0y6QJD2QhkXyf3RsqdPVai0PkobgXLygzDSc0ew5rywbJCy7Z3F66r42j2gCfDAFRIeAWFPq3WjGEE3,,No,,,,3/1/2023,SXU9qSCKxfCcv7WuKJPvft53syv1X8sipcxg3Yc9,,,Infra,11/22/2022,I1saeJ,,,,,Closed,qKSMfjYpN7hmkS1snnSFcwidyySIb0SWijbEpTpU,0,CVE-2022-42889,9zfiCyKDrR,task16382,1/2/2023,12/11/2021,1/2/2023,asset0273
4/14/2020,795E359F,,Very High,0,,,No,,,,9/5/2021,9fjGLtCuhabm1RghpyP1MGkB27tgpBgJUbsXsbPr,,Removal of software,Infra,6/2/2021,LVVjSs,,,,,Closed,ktHzlPdYY8GGEthwBKhM5DnT3OLefCct9eY2umJ5,0,CVE-2018-1270,ZFphoGMxgD,task15760,6/22/2021,4/14/2020,6/22/2021,asset0180
4/29/2022,6F3FF3E3,,Very High,0,,,No,OSPO,,,10/19/2023,oPvRTR9m2ZuiLe0tM16MJoqnbONRWIJ1Lds7wsll,,Removal of software,Infra,12/15/2022,v5mPDd,,,,,Resolved,FY5Cv75X8PS9ssxRWfu5xB49vEHlHVy8VLUgIh0t,0,CVE-2023-4863,wHCP2pOw6R,task18815,5/2/2023,4/29/2022,,asset0993
8/22/2023,F7D8ABD9,,Critiacal,0,,,No,,,,10/15/2023,HIPUBZHJguWPVNBukQFKrmefDf9FS92TKYv8t0u8,,Patching,Infra,10/10/2023,txO6qa,,,,,Open,0xJkjzBMHeqpfnul6ZF4CvCgb3XFFNmLC9ddvRcK,0,CVE-2018-1270,LWemhuxYUw,task17012,10/12/2023,8/22/2023,,asset0423
9/8/2019,F5DA1603,,Very High,0,,,No,,,,11/1/2021,bsrVbGlJTsX4JjNR12uHdF6LkBu2q7ul6dWLOcrN,,,Infra,6/13/2021,AVDuoa,,,,,In Remediation,ywE0cCGk3GHHnSkdZ8avJrkOQk63l2CZAXQgrhB1,0,CVE-2022-42889,tUmG7rjlzB,task15399,7/17/2021,9/8/2019,,asset0432
1/5/2021,E8F571CD,,Critiacal,0,,,No,,,,1/30/2023,NZByWKarZlGbP0nB9cqjTY9pS4x3mNsLcBTFLWQR,,,Infra,1/12/2023,8c39Xb,,,,,Open,eULaZevyJ0DfF6wear3xrbO2S4DTgsBT0Zxs07x6,0,CVE-2019-17571,2kmHgm4IBi,task17938,1/14/2023,1/5/2021,,asset0066
11/22/2023,39257E89,,High,0,,,No,,,,12/26/2023,1EiFV2evBhtJszp40qLjYx0OrAFZdhFMAAXcwtlX,,,Infra,12/8/2023,c83wng,,,,,Closed,RhQIzn1Ezvb6EUwuo4YRwtrCwhXoxJTLFuBiEFZk,0,No-CVE,GSddRbzyk9,task19376,12/12/2023,11/22/2023,12/12/2023,asset0337
7/14/2023,A4050536,,High,0,,,No,,,,8/3/2023,7ZatOLBX7K64kBWBQJpXpLZbqB61d7nYLVva6sxs,,Removal of software,Infra,8/2/2023,7KYJI1,,,,,Resolved,2Lp2UfWUKKcCFwTjW9x82FU8oC6ZCSm4ouPvsmcB,0,CVE-2018-1270,5M0k6zqkks,task15912,8/2/2023,7/14/2023,,asset0838
12/22/2021,9C475607,0E939E,Emergency,0,,,No,,,,10/4/2023,1wmqU7Rg1dB4Yuu7M094M3e69u1AviCajtIChPt9,,,Infra,2/11/2023,txdhdE,,,,,Closed,6fLlAdR2zbWnEE0L6zRpZIGGsQiDSrCG6eP6Cb9F,0,No-CVE,G7lZ9o4hkw,task18624,9/23/2023,12/22/2021,9/23/2023,asset0682
1/30/2019,B185BD35,,High,0,,,No,,,,6/19/2021,IjZm4jPi2xdh61oO5iDzrG3l38Wd7LudumlY04iQ,,Patching,Infra,6/13/2019,ZWpFTS,,,,,Closed,0qfISi6v8JeLzSp3eMqsFIIRyC6FxCiPcSKD276q,0,CVE-2023-4863,JYYXi6egNQ,task15957,2/4/2020,1/30/2019,2/4/2020,asset0153
